Time,V1,V2,Amount,Class,device_id_hash,geo_drift_km,biometric_score,login_time_hour,user_behavior_score
148786,0.8953357131568075,1.4022713196518442,606.0754195376264,0,b7404863b077,0.5267857142857144,0.9772727272727271,17,0.21249999999999997
128370,2.3529797559264733,-0.24679712985606708,216.3321946255536,0,e15c0355daff,0.4375,0.8636363636363633,11,0.037500000000000006
144905,-0.15314027496578436,0.004319756750916231,307.5721737035314,0,96b1d6862715,0.5479323308270677,0.6818181818181817,16,0.3375
30416,-0.5743433107998327,0.5362515172959285,825.8255368180982,0,076654177b95,0.6715225563909775,0.5227272727272727,8,0.09999999999999999
29226,-0.8847951385525853,0.6283792514813551,582.5940129368332,0,066b7f08c460,0.42387218045112784,0.8181818181818183,8,0.49999999999999994
128848,1.1448654870025612,-1.1564123423395012,447.61465677659294,0,5dd8219fc921,0.42387218045112784,0.75,11,0.6375000000000001
132558,0.9313404094874519,1.7455314423178205,989.7134919123614,0,f93b01c88bf7,0.6795112781954888,0.8636363636363633,12,0.775
54173,-1.4745550073703613,0.14884306568696157,913.6718962850499,0,b35302d9cc6e,0.5648496240601504,0.7954545454545454,15,0.325
22008,-0.47838518893728404,1.544521952593614,874.0593420784811,0,7ec7a2c538ae,0.3905075187969925,0.8863636363636362,6,0.1875
117526,-0.8946172431635012,-2.1860095837421065,987.5341826414954,0,79cbb2a6474c,0.5333646616541354,0.5454545454545454,8,0.3625
134139,0.1898864229181905,1.0816646866371167,238.32780547704576,0,1adc63a24146,0.39144736842105265,0.9545454545454546,13,0.3
101433,-1.426044901866166,0.2744964674118963,133.59206349700747,1,2acae77e803c,0.3909774436090226,0.7045454545454546,4,0.3375
4035,1.2495044247011804,-1.2655989241955903,511.0823053754714,0,41728570ba37,0.49107142857142866,1.0,1,0.575
67553,0.10767478852131351,2.2675473813450755,149.99840008771287,0,436f7e2265f4,0.18703007518796994,0.5,18,0.2625
159351,-0.6357014618565219,0.8164161280449577,657.2636866166843,0,841d927e7778,0.21381578947368424,1.0,20,0.3
2895,-2.1909072389934097,-1.2648840265954397,832.9694147598628,0,51a010f363d1,0.3773496240601504,0.7045454545454546,0,0.15
53316,1.194602995916316,0.011497556710124947,322.7478783521155,0,464715ac22c5,0.31390977443609025,0.5,14,0.3125
132687,0.31943242443306,-0.3615657276139433,125.93537603752489,0,ccefb281efe0,0.5009398496240602,0.5454545454545454,12,0.7125
124542,-0.7451655918087606,0.9623239287063792,804.6977969918943,0,7abe4e70ebcd,0.32894736842105265,0.5909090909090908,10,0.2
49980,-0.12940892397863762,-0.338606615994706,544.8193886440503,0,a605d0a196ff,0.2575187969924812,0.75,13,0.5375000000000001
92984,0.1966360838959958,1.3160617002826014,401.4059914106493,0,75250b436542,0.6635338345864663,0.7727272727272729,1,0.2875
147987,1.0520062643011665,0.47188425978387927,45.037130049767235,0,97aec341f51c,0.42481203007518803,0.5227272727272727,17,0.55
80297,-0.2554213171077504,-0.7170161902051736,39.57204489554612,0,653433cd9ba1,0.46616541353383467,0.659090909090909,22,0.5125000000000001
152179,0.5049890403822703,-0.9689116385430008,323.0164754824654,0,8093e3efd122,0.256109022556391,1.0,18,0.13749999999999998
98709,-2.0250328349632842,0.04014497919812343,561.1700689068791,0,f2ecdfbe7ef5,0.3801691729323309,1.0,3,0.49999999999999994
147814,-0.5716564051899956,-0.2459376249433614,503.6761600089898,0,f5e5313b7953,0.4722744360902256,0.75,17,0.09999999999999999
106585,2.20164455525626,-0.04609630349488223,736.5358626626271,0,a585b34ffbd2,0.29464285714285715,0.659090909090909,5,0.1125
113574,1.020404728437901,-0.6905067314711981,216.40640168824774,0,bc5fc685c2ce,0.5098684210526316,0.6818181818181817,7,0.275
39213,0.8678222089728073,-1.118934647807656,632.4385981549847,0,2a9be379cbeb,0.3721804511278196,0.7954545454545454,10,0.675
62947,-0.555345973569408,-0.4775049739642774,656.9941746109005,0,2a7a56765cc3,0.4154135338345865,0.43181818181818166,17,0.425
59724,-0.2921522576209036,-0.18317171207035865,294.41917860987274,0,45c3be63c030,0.3717105263157895,0.5909090909090908,16,0.1625
127149,-0.28268253402282506,-2.090240355063036,24.63042421918397,0,9a9b5793f311,0.7180451127819549,0.2727272727272727,11,0.05
131837,0.9564109635993022,-1.966133567329733,94.26301508072306,0,e61cc541abc9,0.4548872180451128,0.75,12,0.46249999999999997
140596,1.1460399670530697,-1.0648603803036687,846.6594067781199,0,f56f91d70be6,0.30780075187969924,0.7954545454545454,15,0.3375
7010,-0.25694812377494813,1.5374180578816026,34.48247645981894,0,24dc58f704f5,0.5728383458646618,0.5454545454545454,1,0.375
92725,2.3249962930972354,-0.7986090613189764,800.1647095878312,0,640931c42c64,0.28477443609022557,1.0,1,0.41250000000000003
71754,0.6508119156750998,1.526362066418279,756.8380043759017,0,64fc4911eafd,0.48637218045112784,0.38636363636363624,19,0.5875
90514,1.0951775785046198,-2.570610393948075,448.84140251104554,0,4368251bf893,0.1804511278195489,0.3181818181818181,1,0.3125
33258,1.5957062071077535,-0.622562938171861,788.8010869151298,0,8be1c21ae68d,0.26973684210526316,0.7045454545454546,9,0.6125
18844,0.3498295691295676,1.47077977626423,611.2514812899054,0,850c6cd30b9a,0.48449248120300753,0.8863636363636362,5,0.175
93247,-0.07754881135090805,0.009587136651247948,979.2248430640261,0,f7445a8bcfa7,0.5610902255639099,1.0,1,0.0625
120657,-1.003328607880112,-0.20907559105770968,596.9707537853985,0,41a5207a44b9,0.48073308270676696,0.5454545454545454,9,0.55
100612,2.288854156957113,0.2597047001842894,538.072381175771,0,35afe783a1e7,0.4403195488721805,0.9090909090909092,3,0.125
164378,0.6077723303526233,-0.684385872341649,532.346389163329,0,19927f52f06c,0.4144736842105263,0.659090909090909,21,0.3625
161411,0.9060957089216527,0.34579889647539547,140.93224455113182,0,9a891ad31ba9,0.2481203007518797,0.6136363636363635,20,0.6625000000000001
118424,1.059238435382178,0.7268787785866395,259.6927717304233,0,da5d006808f6,0.35526315789473684,0.8636363636363633,8,0.07500000000000001
109960,0.37307274515528954,-1.5196792997902748,723.1149990044288,0,06843f001a41,0.3919172932330828,0.8181818181818183,6,0.41250000000000003
99311,-0.7954003429053018,-0.2481893226623849,519.0352740919662,0,f74dac1d3040,0.605733082706767,0.2954545454545452,3,0.0625
128117,1.334113377862058,0.6672136772478197,942.2836337802546,0,18b3bc50f209,0.5051691729323309,1.0,11,0.325
26653,0.0975676359409141,-1.1314329939189436,715.3993852214603,0,098ec30bad52,0.20817669172932332,0.9772727272727271,7,0.0
162222,-1.9858798361554004,-0.7503296221317908,972.2396303577543,0,27de4b97a110,0.5023496240601504,0.5227272727272727,21,0.09999999999999999
84704,0.23691408183546478,-0.1515365733444357,205.7487310836851,0,3caf7d521c6e,0.4022556390977444,0.75,23,0.1875
106582,-2.602048737412898,-0.1117048328737505,174.23452603862552,0,c538d7a46c25,0.36137218045112784,0.7727272727272729,5,0.0625
142764,1.0304360813365918,-0.30271933817790375,890.7768976178758,0,ab9f1ca50a6c,0.543233082706767,0.7272727272727271,15,0.43749999999999994
74385,-0.6516814611657921,-0.13708694102663138,414.613075187007,0,94ada639eed1,0.6019736842105263,0.5227272727272727,20,0.4
130152,0.34848608749802723,0.9138086508743869,578.88547241278,0,ce2f50f0e941,0.587875939849624,0.5,12,0.675
136171,0.5589025772271367,-1.1673714866730893,739.1159580403987,0,897f03e8ef03,0.33834586466165417,0.659090909090909,13,0.125
5307,-0.32654895025768726,0.5170870562325799,627.1066344804027,0,4cb6f7a912be,0.41306390977443613,0.9318181818181817,1,0.2625
141262,1.3466372723623297,1.354007239162754,309.52772399072137,0,103e575349cc,0.5032894736842106,0.7727272727272729,15,0.08750000000000001
3788,0.4295251637889407,-0.40482019762756066,215.34023384064452,0,c84c94496f07,0.5944548872180451,0.5681818181818183,1,0.21249999999999997
69125,-0.6752548582141715,-0.7851404265045461,650.1668580833621,0,5e06a8af824a,0.3890977443609023,0.8409090909090908,19,0.7375
166841,1.0144158125779557,1.1242202646543051,753.2945923839031,0,a9cb3e76b3d3,0.4304511278195489,0.022727272727272485,22,0.4875
78148,-0.9039831011939946,0.6071603818299685,339.98492753314804,0,78aaed5fd0c0,0.30075187969924816,0.9090909090909092,21,0.125
133577,-0.20824242778954238,0.22813732975180187,978.0909166774912,0,05cb6eb30ab2,0.2880639097744361,0.2727272727272727,13,0.024999999999999998
77609,1.6380992323326347,-2.8580507155736865,160.7896278273791,0,802adc50a470,0.5714285714285715,0.5681818181818183,21,0.024999999999999998
109434,-1.1497883312995396,-0.824438520083186,409.5227365667261,0,aa093551c68b,0.6480263157894737,0.40909090909090895,6,0.45
51425,-0.6877587565354732,-0.19463533216655415,460.96261451445906,0,bfda9fb2a03b,0.4464285714285715,0.36363636363636354,14,0.1875
64955,0.6263190495404446,1.0084323122787373,80.42119407311436,0,79a2e7b88dfb,0.5982142857142858,0.9318181818181817,18,0.9125000000000001
168037,-0.4635494273135643,-0.1927064686588202,503.41428860052,0,49974dd59be9,0.5075187969924813,0.5454545454545454,22,0.2875
99392,-1.3496781995098828,-0.1926093101277028,259.27164046611233,0,938444b3c7af,0.36560150375939854,0.7272727272727271,3,0.2
93214,-0.7615566251864754,-1.418676302702257,2.5505992315281825,0,71cf59a31baf,0.5075187969924813,0.659090909090909,1,0.08750000000000001
103496,-0.25801510565012736,0.3425764787636313,927.0430718483897,0,02b11badda68,0.6734022556390977,0.7727272727272729,4,0.55
166593,-1.5096600090562482,-2.018139715832395,639.1998908027656,0,396adde2807b,0.4515977443609023,0.6818181818181817,22,0.2375
168633,1.4127161606488345,1.3776039723744802,628.3913447133577,0,7f0c18e2d4af,0.6771616541353384,0.36363636363636354,22,0.3125
150714,0.08091964410700861,-0.7960705760348756,135.82904675936916,0,28799e4d514d,0.08740601503759399,0.8863636363636362,17,0.3375
17618,0.7249113649419425,0.9812265660377713,150.931883559579,0,586bfcd6b8d1,0.5728383458646618,0.5454545454545454,4,0.3
27585,0.4979850145289708,-1.1169353042080163,963.6350671763058,0,a7519c26516c,0.46898496240601506,0.2954545454545452,7,0.47500000000000003
34244,1.2548419406488334,0.47970238783436203,219.27404612973152,0,5afa5ef7d06a,0.4144736842105263,0.5681818181818183,9,0.09999999999999999
50429,-1.107825211399324,0.8777658387962446,804.5483312732179,0,7c9bd5543427,0.46992481203007525,1.0,14,0.2875
159986,-0.2930786275448902,0.7497716974533288,928.1322373403378,0,b10c85ca8b0f,0.1766917293233083,0.8636363636363633,20,0.2375
28369,-0.6434256358080005,-0.0967314351043432,537.3805302781465,0,ccc8e431377f,0.42575187969924816,0.5909090909090908,7,0.4875
147283,-0.6783675045354554,0.43785050831403,67.46723593846009,0,67178419d7f5,0.5070488721804511,0.5909090909090908,16,0.575
26031,-0.3157630571764736,0.2917353237647842,687.2087053993343,0,82f8a9a86585,0.6649436090225564,0.5909090909090908,7,0.15
44404,0.6150858982147894,1.5909496483929602,782.2601732463376,0,ed70a899aeb1,0.3839285714285715,1.0,12,0.4875
4912,-0.77291919146515,2.0152735280510954,374.0556970692798,0,8c99fac9a4c8,0.3425751879699248,0.75,1,0.09999999999999999
87500,0.5031365957040295,0.9490113070056886,58.204303247617844,0,3993a589771e,0.38580827067669177,0.75,0,0.3
109697,-1.0278705408402489,-0.5911344248448698,794.5785542128053,0,06d3c9631b98,0.5859962406015038,0.8863636363636362,6,0.3125
79975,-2.3847394855174677,0.6327344312387795,464.04906267716086,0,381880cfa6b7,0.5032894736842106,0.7045454545454546,22,0.55
136812,-1.1147262438235,1.0335327587943148,55.308401789618934,0,30acae3fbeed,0.38204887218045114,0.5909090909090908,14,0.47500000000000003
95316,0.22511888728229124,-2.584149793069084,805.0226894211535,0,d86c016daa8c,0.5291353383458647,0.6136363636363635,2,0.1125
12961,-0.9829034273479479,0.3534304211792024,690.1695680062408,0,6dce0ba4aba4,0.4703947368421053,0.6363636363636362,3,0.46249999999999997
9894,-0.6327106993310805,-1.0989935393435937,629.8377816291014,0,80031482addb,0.593515037593985,0.659090909090909,2,0.3625
165710,-0.34509788069015074,-0.09455049157554682,177.34540432299855,0,e66d69a2970c,0.3576127819548872,0.8181818181818183,22,0.725
78128,0.07098226317903862,1.827451503004847,608.4277989813007,0,b57831f7bb9f,0.4107142857142857,0.6818181818181817,21,0.21249999999999997
51178,-0.6444369501726243,0.10693918058345606,820.2771443907427,0,d0d8be3bfe9b,0.40131578947368424,0.8181818181818183,14,0.25
131297,-0.08072459829061913,0.07073245277790734,746.5647165154451,0,7c7b7eaf56ad,0.2504699248120301,0.6363636363636362,12,0.7625000000000001
19992,0.16376314410674156,1.6533838977951516,835.9927028335169,0,b1cc91ec0d8f,0.4985902255639098,0.6818181818181817,5,0.6000000000000001
